SUB	surface	english	conf	category	reason
N	鴻準	Foxconn Technology	high	taiwan	Taiwan Foxconn-affiliated firm; spoken Chinese name 鴻準.
N	世界衛生組織	World Health Organization	high	western-brand	Full Chinese surface 世界衛生組織 is read in Mandarin; though WHO acronym exists, the 
Y	愛馬仕	Hermès	medium	western-brand	愛馬仕 is the established, widely-used Taiwan Chinese name for Hermès (unlike 蔻馳/Co
N	聯準會	Federal Reserve	high	western-brand	聯準會 is the universal Taiwan term for the US Federal Reserve; nobody code-switche
N	華盛頓郵報	The Washington Post	high	western-brand	Taiwan news media use the established Chinese name 華盛頓郵報; full Chinese surface i
Y	輝瑞	Pfizer	medium	western-brand	輝瑞 is the dominant Taiwan name for Pfizer (heavily used during COVID, e.g. 輝瑞疫苗)
N	迪卡儂	Decathlon	medium	western-brand	Decathlon is marketed and spoken in Taiwan as 迪卡儂; the Chinese name is the domin
N	麥當勞	McDonald's	high	western-brand	Established Chinese name; Taiwanese always say 麥當勞, never 'McDonald's'.
N	內馬爾	Neymar	high	western-person	Brazilian footballer; Taiwan uses the Chinese transliteration 內馬爾.
N	勞埃德·布蘭克梵	Lloyd Blankfein	high	western-person	Obscure Western finance figure; Taiwan media use the Chinese transliteration, no
N	彼得·提爾	Peter Thiel	medium	western-person	Mainstream Taiwan media use the Chinese transliteration 彼得·提爾; tech circles may 
N	拉夫羅夫	Sergey Lavrov	high	western-person	Russian foreign minister; Taiwan media use the Chinese transliteration 拉夫羅夫.
N	珍·古德	Jane Goodall	high	western-person	Taiwan media use the Chinese transliteration 珍·古德 for Jane Goodall.
N	舒馬克	Michael Schumacher	high	western-person	Taiwan media use the Chinese transliteration 舒馬克 for the F1 driver.
N	菲爾普斯	Michael Phelps	high	western-person	Western swimmer; Taiwan media use the Chinese transliteration 菲爾普斯.
N	蕾哈娜	Rihanna	medium	western-person	Pop star; 蕾哈娜 is a well-established Taiwan transliteration and the dominant spok
N	譚德塞	Tedros Adhanom	high	western-person	WHO chief became famous in Taiwan during COVID as 譚德塞; Chinese transliteration i
